name,isin,symbol
ADLER REAL ESTATE AG,DE0005008007,ADL
AAP IMPLANTATE AG,DE0005066609,AAQ
ALLGEIER SE  O.N.,DE0005086300,AEI
BAADER BANK AG,DE0005088108,BWB
UTD.INTERNET AG NA,DE0005089031,UTDI
AMADEUS FIRE AG,DE0005093108,AAD
BASLER AG O.N.,DE0005102008,BSL
ADVA OPT.NETW.SE  O.N.,DE0005103006,ADV
ATOSS SOFTWARE AG,DE0005104400,AOF
SYZYGY AG O.N.,DE0005104806,SYZ
ALL FOR ONE STEEB AG,DE0005110001,A1OS
ZOOPLUS AG,DE0005111702,ZO1
11 88 0 SOLUTIONS AG,DE0005118806,TGT
QSC AG NA O.N.,DE0005137004,QSC
DEUTSCHE BANK AG NA O.N.,DE0005140008,DBK
SINNERSCHRADER O.N.,DE0005141907,SZZ
DELTICOM AG,DE0005146807,DEX
GIGASET AG O.N.,DE0005156004,GGS
SCHWEIZER ELECTR. NA O.N.,DE0005156236,SCE
DR. HOENLE AG O.N.,DE0005157101,HNL
BECHTLE AG O.N.,DE0005158703,BC8
3U HOLDING AG,DE0005167902,UUU
BAUER AG,DE0005168108,B5A
ASKNET AG NA O.N.,DE0005173306,A5A
SURTECO SE,DE0005176903,SUR
SOFTING AG O.N.,DE0005178008,SYT
BAY.MOTOREN WERKE AG ST,DE0005190003,BMW
BAY.MOTOREN WERKE  VZO,DE0005190037,BMW3
BAYWA AG NA.,DE0005194005,BYW
BAYWA AG VINK.NA. O.N.,DE0005194062,BYW6
J.F.BEHRENS AG O.N.,DE0005198907,JFB
LUDW.BECK A.RATHAUSECK,DE0005199905,ECK
BEIERSDORF AG O.N.,DE0005200000,BEI
BERENTZEN-GRP.AG,DE0005201602,BEZ
QUIRIN BANK AG,DE0005202303,QB7
B.R.A.I.N. NA,DE0005203947,BNN
ARTEC TECHNOLOGIES O.N.,DE0005209589,A6T
MOBOTIX AG O.N.,DE0005218309,MBQ
ENBW ENERGIE BAD.-WUE. ON,DE0005220008,EBK
NEXUS AG O.N.,DE0005220909,NXU
BIOTEST AG ST O.N.,DE0005227201,BIO
BIOTEST AG VZ O.N.,DE0005227235,BIO3
ORBIS AG O.N.,DE0005228779,OBS
BIJOU BRIGITTE O.N.,DE0005229504,BIJ
BERTRANDT AG O.N.,DE0005232805,BDT
UMT UTD MOB.TECHN.AG,DE0005286108,UMD
HOMAG GROUP AG,DE0005297204,HG1
ENERGIEKONTOR O.N.,DE0005313506,EKT
CARL ZEISS MEDITEC AG,DE0005313704,AFX
NANOFOCUS O.N.,DE0005400667,N2F
CEWE STIFT.KGAA  O.N.,DE0005403901,CWC
CENIT AG O.N.,DE0005407100,CSH
CENTROTEC SUSTAINABLE O.N,DE0005407506,CEV
AAREAL BANK AG,DE0005408116,ARL
OEKOWORLD AG VZNA O.N.,DE0005408686,VVV3
LEONI AG NA O.N.,DE0005408884,LEO
CANCOM SE O.N.,DE0005419105,COK
COMDIRECT BANK AG,DE0005428007,COM
COMPUGROUP MED.SE O.N.,DE0005437305,COP
CONTINENTAL AG O.N.,DE0005439004,CON
CTS EVENTIM KGAA,DE0005470306,EVD
LANXESS AG,DE0005470405,LXS
VARENGOLD BANK AG,DE0005479307,VG8
ALPHAFORM AG O.N.,DE0005487953,ATF
ISRA VISION O.N.,DE0005488100,ISR
